Id,Item Name,Ingredients
183,Paneer Tikka Karahi,Cheese
184,Lamb Achar,Lamb
185,Paneer Tikka Sizzler,Cheese
186,Chicken Tikka Sizzler,Chicken
187,Lal Mirch Chicken,Chicken
188,Lamb Tikka Karahi,Lamb
189,Prawn Karahi,Prawn
190,Lal Mirch Lamb,Lamb
191,Korma - Prawn,Prawn
192,Lamb Haryali,Lamb
193,Lamb Sylhet,Lamb
194,Vegetable Balti,Vegetables
195,Dhansak - Prawn,Prawn
196,Lamb Mysore,Lamb
197,Chicken Sylhet,Chicken
198,Lamb Tikka Sizzler,Lamb
199,Pathia - Prawn,Prawn
200,Chicken Achar,Chicken
201,Dupiaza - Prawn,Prawn
202,Lamb Roshni,Lamb
203,Saag - Prawn,Prawn
204,Methi - Prawn,Prawn
205,Rogon - Prawn,Prawn
206,Mushroom - Prawn,Prawn
207,Lamb Tikka Biryani,Lamb
208,Chicken Tikka Balti,Chicken
209,Lamb Tikka Balti,Lamb
210,Prawn Biryani,Prawn
211,Paneer Tikka Balti,Cheese
212,Chicken Tikka Biryani,Chicken
213,Persian Lamb Biryani,Lamb
214,Prawn Balti,Prawn
215,Persian Chicken Biryani,Chicken
216,Lamb Persian,Lamb
217,Tandoori Mixed Grill,Spices
218,Curry - King Prawn,Prawn
219,Madras - King Prawn,Prawn
220,Tandoori Fish (Main),Fish
221,Vindaloo - King Prawn,Prawn
222,Tandoori King Prawn Garlic,Prawn
223,Chicken Shashlick Curry,Chicken
224,King Prawn Hari Mirch,Prawn
225,Hazary Lamb Chilli Garlic,Lamb
226,Lamb Shashlick Curry,Lamb
227,King Prawn Shaslick,Prawn
228,Dhansak - King Prawn,Prawn
229,Bengal King Prawn,Prawn
230,Korma - King Prawn,Prawn
231,Bhuna - King Prawn,Prawn
232,Hazary Lamb,Lamb
233,Bengal Fish Biryani,Fish
234,Tandoori King Prawn Masala,Prawn
235,King Prawn Biryani,Prawn
236,Saag - King Prawn,Saag
237,Dupiaza - King Prawn,Prawn
238,Pathia - King Prawn,Prawn
239,Bengal Fry Fish,Fish
240,King Prawn Balti,Prawn
241,Bengal Fish Karahi,Fish
242,Rogon - King Prawn,Prawn
243,Mushroom - King Prawn,Mushroom
244,King Prawn Karahi,Prawn
245,Methi - King Prawn,Prawn
246,Kurma,Heavy Cream
247,House Red wine 75cl,
248,House white wine 75cl,
